source,series,frequency_hz,sine_v_rms,input_mode,coupling,sensitivity_a,time_constant_s,settling_s,n,current_rms_a,current_sd_a,g_magnitude_s,g_sd_s,g_real_s,g_imag_s,phase_deg,pair_difference_fraction
frequency_20260924T094934Z.jsonl,frequency,63330.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,6.24864e-08,7.29999999999769e-12,6.24864e-07,7.29999999999769e-11,-5.660719999999999e-07,-2.64579e-07,-154.9488668799063,-1.9800262956918047e-05
frequency_20260924T094934Z.jsonl,frequency,70000.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,4.679433333333333e-08,4.214656965082934e-12,4.679433333333333e-07,4.214656965082934e-11,-4.357833333333332e-07,-1.7047699999999997e-07,-158.63472691205786,-3.2928415557198278e-06
frequency_20260924T094934Z.jsonl,frequency,80000.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,3.28633e-08,1.1096395811254049e-11,3.28633e-07,1.1096395811254048e-10,-3.1265033333333327e-07,-1.0135466666666667e-07,-162.0383955308592,0.00010809959942722123
frequency_20260924T094934Z.jsonl,frequency,90000.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,2.4507933333333334e-08,4.2146569650848445e-12,2.4507933333333334e-07,4.214656965084844e-11,-2.360816666666667e-07,-6.582343333333333e-08,-164.4206595349631,2.8286856834815694e-05
frequency_20260924T094934Z.jsonl,frequency,102000.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,1.81536e-08,0.0,1.81536e-07,0.0,-1.7649166666666665e-07,-4.2685933333333323e-08,-166.4036479451065,0.00024390676725613266
frequency_refine_20260924T095456Z.jsonl,frequency,25000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,1.49886e-07,0.0,1.49886e-06,0.0,1.41271e-06,-5.034989999999999e-07,-19.61639686212108,0.0005961700616791676
frequency_refine_20260924T095456Z.jsonl,frequency,28000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,1.70142e-07,0.0,1.7014199999999998e-06,0.0,1.5359166666666667e-06,-7.330330000000001e-07,-25.513319387238017,0.0002672286285496882
frequency_refine_20260924T095456Z.jsonl,frequency,30000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,1.8717766666666667e-07,6.697263122599612e-11,1.8717766666666667e-06,6.697263122599612e-10,1.6086733333333332e-06,-9.577146666666664e-07,-30.767216849473787,0.00021395823743595478
frequency_refine_20260924T095456Z.jsonl,frequency,33330.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,2.2192766666666666e-07,3.348631561299042e-11,2.2192766666666665e-06,3.3486315612990417e-10,1.62226e-06,-1.5145699999999997e-06,-43.03376015391877,4.67858710844522e-05
frequency_refine_20260924T095456Z.jsonl,frequency,36000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,2.5068266666666665e-07,3.34863156130057e-11,2.5068266666666664e-06,3.34863156130057e-10,1.3537266666666666e-06,-2.109843333333333e-06,-57.31478459620679,-1.3140818880025691e-05
frequency_refine_20260924T095456Z.jsonl,frequency,38000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,2.64206e-07,0.0,2.64206e-06,0.0,8.69627e-07,-2.4951866666666666e-06,-70.78543925149403,0.00012366413418363152
frequency_refine_20260924T095456Z.jsonl,frequency,40000.0,0.1,current_1e6,DC,1e-06,0.1,1.5,3,2.627316666666667e-07,3.34863156130057e-11,2.6273166666666665e-06,3.34863156130057e-10,1.9848899999999995e-07,-2.619753333333333e-06,-85.6671893765416,-2.0821956460843923e-05
